color_name,hex_code,hue_angle,L,C,H
rust red,#AA2704,12.7,37.9,71.1,43.8
orangey red,#FA4224,8.4,56.4,88.8,40.3
primary blue,#0804F9,241.0,31.8,130.6,306.2
kermit green,#5CB200,89.0,65.1,82.8,127.4
murky green,#6C7A0E,67.8,48.4,53.8,110.3
wheat,#FBDD7E,45.6,88.8,50.1,91.6
very dark purple,#2A0134,288.2,6.9,37.1,321.7
bottle green,#044A05,120.9,26.5,46.8,136.9
deep sky blue,#0D75F8,213.4,51.4,76.1,287.8
fire engine red,#FE0002,359.5,53.0,104.0,39.8
yellow ochre,#CB9D06,46.0,67.1,70.4,85.3
pumpkin orange,#FB7D07,29.0,65.9,83.8,59.3
pale olive,#B9CC81,75.2,79.1,39.9,117.7
lightish green,#61E160,119.5,80.3,79.5,139.4
carolina blue,#8AB8FE,216.2,74.1,39.5,274.2
shocking pink,#FE02A2,321.9,55.8,88.3,350.3
auburn,#9A3001,18.4,36.0,63.9,48.2
bright lime green,#65FE08,97.3,88.8,112.1,131.5
bright sky blue,#02CCFE,191.9,76.3,43.8,235.8
celery,#C1FD95,94.6,93.3,56.9,129.8
dark lime,#84B701,76.8,68.6,79.0,118.9
copper,#B66325,25.7,50.7,55.8,58.7
medium brown,#7F5112,34.7,38.6,44.0,71.4
robin's egg,#6DEDFD,186.7,87.4,36.0,210.8
bright lavender,#C760FF,278.9,59.6,90.8,316.6
light navy,#155084,208.1,33.1,34.4,272.5
pink red,#F5054F,341.5,51.9,84.4,20.3
olive brown,#645403,50.1,36.1,43.1,91.9
mustard green,#A8B504,64.4,70.4,74.8,107.3
ocean green,#3D9973,155.2,57.1,38.5,161.9
very dark blue,#000133,238.8,2.4,33.2,296.4
light navy blue,#2E5A88,210.7,37.2,30.1,270.6
minty green,#0BF77D,149.0,86.0,86.9,148.9
bright light blue,#26F7FD,181.7,88.9,46.9,200.4
light lime,#AEFD6C,92.7,91.8,77.0,128.0
orange yellow,#FFAD01,40.6,76.8,82.5,76.1
ocre,#C69C04,47.0,66.4,69.7,86.7
maize,#F4D054,46.5,84.5,64.1,90.6
faded pink,#DE9DAC,346.2,71.3,26.4,4.2
british racing green,#05480D,127.2,25.9,43.1,139.2
sandstone,#C9AE74,40.9,72.2,33.4,86.9
mud brown,#60460F,40.7,31.6,35.5,81.1
light sea green,#98F6B0,135.3,89.7,49.2,149.3
robin egg blue,#8AF1FE,186.7,89.6,31.0,210.3
dark sea green,#11875D,158.6,49.8,43.2,160.9
orangey brown,#B16002,32.2,49.2,63.4,64.1
cherry red,#F7022A,350.2,51.8,93.4,32.7
burnt yellow,#D5AB09,47.6,71.8,73.6,87.9
camel,#C69F59,38.5,67.7,42.0,81.7
marine,#042E60,212.6,19.3,34.5,283.7
pastel yellow,#FFFE71,59.6,97.4,68.3,104.6
bluey purple,#6241C7,254.8,38.7,80.3,305.9
canary yellow,#FFFE40,59.7,97.0,86.2,103.3
faded red,#D3494E,357.8,50.9,60.9,26.6
sepia,#985E2B,28.1,45.4,42.6,63.5
bright magenta,#FF08E8,305.6,59.2,107.0,332.3
darkish green,#287C37,130.7,45.8,50.5,143.3
brown orange,#B96902,33.8,52.3,65.1,66.3
sickly green,#94B21C,72.0,68.2,71.2,113.9
purply blue,#661AEE,261.5,37.4,116.0,309.4
purpleish blue,#6140EF,251.3,41.9,101.6,305.5
hospital green,#9BE5AA,132.2,84.9,41.0,148.1
mid blue,#276AB3,211.3,44.2,45.0,276.7
amber,#FEB308,41.7,78.1,81.8,78.5
soft blue,#6488EA,223.9,58.3,55.8,286.8
cerulean blue,#056EEE,213.0,48.7,75.1,288.4
golden brown,#B27A01,41.0,55.5,63.0,77.4
bright turquoise,#0FFEF9,178.7,90.7,50.4,193.4
red pink,#FA2A55,347.6,54.7,81.3,21.2
red purple,#820747,328.8,27.7,50.9,357.1
vermillion,#F4320C,9.8,53.5,94.5,42.0
russet,#A13905,20.0,38.7,63.6,49.6
lighter purple,#A55AF4,269.2,53.9,88.4,311.9
bright violet,#AD0AFD,280.2,47.2,118.6,316.5
prussian blue,#004577,205.2,28.3,33.8,272.9
dark blue green,#005249,173.4,30.7,24.2,182.2
yellowy green,#BFF128,74.9,89.0,90.6,116.3
dark gold,#B59410,48.0,62.5,64.2,89.2
bluish,#2976BB,208.4,48.3,42.9,271.4
darkish blue,#014182,210.2,27.8,42.5,282.7
dull red,#BB3F3F,0.0,44.9,57.0,29.1
pinky red,#FC2647,350.7,54.6,85.2,26.2
bronze,#A87900,43.2,54.0,60.9,80.9
pale teal,#82CBB2,159.5,76.5,28.8,169.4
barbie pink,#FE46A5,329.0,60.0,76.2,352.3
bubblegum pink,#FE83CC,324.4,70.6,57.6,343.5
dark mustard,#A88905,48.6,58.3,62.2,89.2
medium purple,#9E43A2,297.5,44.1,61.4,326.1
very dark green,#062E03,115.8,15.5,31.5,138.8
dusky pink,#CC7A8B,347.6,60.4,34.3,7.7
red violet,#9E0168,320.6,34.6,62.9,347.8
lemon yellow,#FDFF38,60.6,97.1,88.7,104.0
pistachio,#C0FA8B,91.4,92.3,59.8,127.8
dull yellow,#EEDC5B,52.7,87.1,64.4,97.9
dark lime green,#7EBD01,80.1,70.1,82.4,121.5
denim blue,#3B5B92,217.9,38.7,34.4,279.9
teal blue,#01889F,188.7,52.0,30.6,223.2
lightish blue,#3D7AFD,220.9,54.0,75.2,289.6
purpley blue,#5F34E7,254.4,39.0,103.7,306.8
light indigo,#6D5ACF,249.7,45.7,69.2,302.6
swamp green,#748500,67.7,52.4,60.4,110.4
brown green,#706C11,57.5,44.5,47.4,101.0
dark maroon,#3C0008,352.0,8.8,30.8,20.2
dark forest green,#002D04,125.3,14.9,31.7,142.0
light lime green,#B9FF66,87.5,92.9,78.7,124.9
yellowish,#FAEE66,55.1,92.8,66.7,100.5
light blue green,#7EFBB3,145.4,90.2,56.1,154.7
ocean,#017B92,189.5,47.3,28.7,225.7
marigold,#FCC006,45.4,81.0,82.7,84.0
dull orange,#D8863B,28.7,63.3,57.7,64.0
fluorescent green,#08FF08,120.0,87.8,119.1,136.1
yellowish brown,#9B7A01,47.1,52.8,58.5,87.0
blush,#F29E8E,9.6,73.1,36.4,35.9
soft green,#6FC276,125.1,71.7,51.2,143.4
bright orange,#FF5B00,21.4,60.6,92.3,49.7
lemon,#FDFF52,60.7,97.2,80.8,104.6
acid green,#8FFE09,87.2,90.2,106.3,126.3
violet blue,#510AC9,262.3,29.9,104.8,309.5
burnt red,#9F2305,11.7,35.2,67.5,43.2
khaki green,#728639,75.6,52.9,43.1,117.0
cerise,#DE0C62,335.4,47.8,75.2,8.8
apricot,#FFB16D,27.9,78.3,50.7,64.8
dark olive green,#3C4D03,73.8,30.1,40.7,115.3
true blue,#010FCC,235.9,25.9,109.8,305.5
periwinkle blue,#8F99FB,234.4,66.2,54.2,292.5
blurple,#5539CC,251.4,36.4,88.0,305.3
green brown,#544E03,55.6,32.6,40.1,98.6
bluegreen,#017A79,179.5,46.0,29.2,195.2
bright teal,#01F9C6,167.7,87.9,61.7,170.0
brownish yellow,#C9B003,52.4,71.9,74.0,94.1
forest,#0B5509,118.4,30.8,50.3,136.7
ultramarine,#2000B1,250.8,21.9,100.4,307.1
dark periwinkle,#665FD1,243.7,46.5,67.2,299.8
reddish,#C44240,0.9,47.0,59.7,30.2
terra cotta,#C9643B,17.3,53.9,55.4,47.9
avocado,#90B134,75.8,67.7,64.0,116.8
marine blue,#01386A,208.6,23.3,34.1,278.6
teal green,#25A36F,155.2,59.6,49.2,158.9
lighter green,#75FD63,113.0,89.4,89.3,136.9
golden yellow,#FEC615,45.6,82.7,82.1,85.4
bright yellow,#FFFD01,59.5,96.6,96.3,102.4
umber,#B26400,33.7,50.2,63.7,66.0
jungle green,#048243,150.0,47.5,52.2,150.5
denim,#3B638C,210.4,40.8,26.9,267.4
yellow brown,#B79400,48.5,62.7,66.9,88.6
chocolate brown,#411900,23.1,14.5,28.2,51.0
dark sky blue,#448EE4,212.2,58.2,50.6,275.7
evergreen,#05472A,153.6,25.9,29.9,156.1
dull pink,#D5869D,342.5,64.7,33.3,1.0
aubergine,#3D0734,310.0,11.9,34.1,334.4
mahogany,#4A0100,0.8,12.5,37.8,31.1
reddish orange,#F8481C,12.0,56.8,88.9,43.1
deep green,#02590F,129.0,32.2,51.4,139.0
purple pink,#E03FD8,303.0,56.4,89.6,329.5
dusty pink,#D58A94,352.0,65.3,30.6,12.5
camo green,#526525,77.8,40.0,37.6,118.5
pinky purple,#C94CBE,305.3,53.3,72.5,330.4
pink purple,#DB4BDA,300.4,57.2,85.4,327.9
brownish red,#9E3623,9.3,37.9,54.6,39.4
dark rose,#B5485D,348.4,46.0,47.3,13.2
mud,#735C12,45.8,40.2,42.5,87.7
emerald green,#028F1E,131.9,51.6,72.2,139.1
burnt umber,#A0450E,22.6,40.8,58.7,53.2
medium green,#39AD48,127.8,62.7,67.7,141.7
clay,#B66A50,15.3,52.8,39.1,44.9
light olive green,#A4BE5C,75.9,73.2,51.9,117.5
brownish orange,#CB7723,30.0,58.0,62.4,64.4
purplish pink,#CE5DAE,317.0,56.1,58.7,337.9
dark salmon,#C85A53,3.6,52.1,50.3,30.5
emerald,#01A049,147.2,57.7,65.2,147.3
pale red,#D9544D,3.0,53.6,60.6,31.3
light magenta,#FA5FF7,301.2,65.9,90.1,328.1
sky,#82CAFC,204.6,78.5,32.9,253.5
yellow orange,#FCB001,41.8,77.1,81.9,78.1
reddish purple,#910951,328.2,31.4,55.3,356.4
reddish pink,#FE2C54,348.6,55.6,82.5,22.3
orchid,#C875C4,302.9,60.8,52.1,328.0
orange red,#FD411E,9.4,56.8,91.6,41.3
deep red,#9A0200,0.8,31.6,71.1,39.7
orange brown,#BE6400,31.6,51.9,67.7,62.7
cobalt blue,#030AA7,237.4,20.1,94.6,305.5
rose pink,#F7879A,349.8,69.1,45.4,11.6
salmon pink,#FE7B7C,359.5,67.0,55.1,25.0
tangerine,#FF9408,34.0,71.2,82.4,66.5
brownish green,#6A6E09,62.4,44.6,50.2,105.3
red brown,#8B2E16,12.3,32.9,52.3,42.8
greenish brown,#696112,54.5,40.6,42.9,98.2
pumpkin,#E17701,31.6,61.0,76.7,62.4
pine green,#0A481E,139.4,26.1,35.5,146.2
blue violet,#5D06E9,263.0,34.7,118.4,309.5
chocolate,#3D1C02,26.4,14.6,25.2,56.3
scarlet,#BE0119,352.4,39.6,77.9,34.3
green yellow,#C9FF27,75.0,93.5,95.5,116.4
dark olive,#373E02,67.0,24.5,34.1,109.5
sienna,#A9561E,24.2,45.9,54.7,56.4
terracotta,#CA6641,16.2,54.5,53.4,46.4
blood red,#980002,359.2,31.1,70.1,39.0
deep pink,#CB0162,331.2,43.7,71.1,4.0
grass,#5CAC2D,97.8,63.3,71.4,130.4
bluish green,#10A674,160.0,60.5,50.5,161.5
green blue,#06B48B,165.9,65.4,49.4,168.1
dark tan,#AF884A,36.8,59.2,39.3,78.9
greenish blue,#0B8B87,178.1,52.2,32.1,192.1
pale orange,#FFA756,28.8,75.8,59.7,64.9
forrest green,#154406,105.5,24.7,41.3,133.4
dark violet,#34013F,289.4,9.9,42.5,322.2
purple blue,#632DE9,257.2,38.6,107.5,307.9
dark cyan,#0A888A,180.9,51.3,30.6,198.7
olive drab,#6F7632,66.2,47.7,38.2,109.9
pinkish,#D46A7E,348.7,57.9,44.5,11.1
cobalt,#1E488F,217.7,31.6,45.2,285.9
light turquoise,#7EF4CC,159.7,88.7,43.6,168.0
dark turquoise,#045C5A,178.6,34.8,23.8,193.3
blue purple,#5729CE,256.7,34.1,96.9,307.7
azure,#069AF3,202.5,61.3,53.7,268.5
bright red,#FF000D,356.9,53.3,102.6,38.6
pinkish red,#F10C45,345.1,51.1,84.5,23.9
